,Description,AddressLabel,Address
172,available detached home extending four double two lovely rear garden parking driveway the property ideal location close number school project school name local shopping shopping dart station fifteen minute walk house bus available road accommodation brief entrance hall home guest large open plan kitchen breakfast dining area excellent range include ring gas cooker electric oven microwave new dishwasher small utility room kitchen sink unit washing machine good size front house hallway upstairs three double one small double bedroom bathroom shower bath towel rail attic space suitable storage outside lovely sunny rear garden laid mainly grass small patio area side entrance professionally by sherry,0,"Glenageary Lodge, Glenageary, Co. Dublin"
173,available th fully furnished lovely three bedroom one bathroom extending accommodation permit parking property heart walk village there park across road square make use park tennis the accommodation entrance hallway leading double living kitchen rear fully upstairs three fitted main bathroom professionally sherry,6,"Brighton Square, Rathgar, Dublin 6"
174,available immediately fully furnished first beautiful four double bedroom four bathroom three property extending accommodation street parking rear garden the property superbly connection route city away the accommodation entrance hallway reception room front there open plan kitchen dining area second room large rear garden on second level three one bathroom on third level master essential professionally sherry,15,"River Drive, Royal Canal Park, Ashtown, Dublin 15"
175,available immediately fully furnished lovely three bedroom three bathroom first floor apartment extending accommodation two parking the accommodation entrance hallway storage unit there two double one single bedroom the kitchen fully washing machine microwave oven hob essential,15,"Goldsmith Hall, Castleknock, Dublin 15"
176,present wonderful spacious home market rent period the interior architecturally designed host zoned underfloor heating downstairs energy efficient central heating system together led energy efficient lighting throughout surround system living room area wine room house laid three generous proportion the accommodation entrance hall storage wine room living room feature gas fire surround system an enlarged room rear bespoke kitchen enhanced glass sliding lead fully garden off kitchen large utility door walkway rear garden a downstairs upstairs main bedroom dual aspect suite large wardrobe luxurious bedroom built built dressing the bedroom fitted family bathroom together fully storage room hot press complete floor the floor bright spacious double bedroom built walk attic storage room to front property street parking electric front gate external battery charger electric hybrid car the property minute walk village outstanding selection close dun pier there large selection excellent junior senior area excellent public transport nearby include bus dart c prime location gas fired central heating energy efficient digital thermostat every room zoned underfloor heating downstairs upstairs mechanical ventilation heat recovery system fully cat wired led energy efficient lighting throughout surround sound system area living room fully wine room external wall mounted battery charger electric hybrid vehicle fast charging gated street parking alarm system low maintenance front rear close local excellent local,0,"Ashton Park, Monkstown, Co. Dublin"
177,only please do not call our office thank you delighted present recently one bedroom apartment road formerly two bedroom apartment spacious home double bed bedroom living kitchen area bathroom electric power shower road stroll village local throw away include all public transport serve area bus cycle easily accessible apartment available move early,11,"Jamestown Road, Finglas, Dublin 11"
178,spacious modern warm first floor bedroom apartment let the living room large bright onto good sized balcony there separate kitchen dishwasher microwave oven dining equipment both come complete fitted the master bedroom also the guest bathroom come fitted shower property recently new furniture kitchen it ready let immediately car parking site superbly road highly sought suburb embassy belt there fine array recreational immediate vicinity stroll away park tennis bowling green picturesque green space the area well public transport short hop green line,4,"Raglan Hall, Clyde Road, Ballsbridge, Dublin 4"
179,no the atrium superbly well bed floor apartment heart ten minute walk city business district approximately accommodation entrance hallway kitchen living room double bedroom bathroom,8,"Apartment 24, Atrium Apartments, Dublin 8"
180,spacious one bedroom apartment balcony available rent immediately the property entrance hall room double bedroom bathroom the balcony living room bedroom highly,1,"Apartment 23, 25 Wolfe Tone Street, Dublin 1"
181,available rent immediately two bedroom apartment centrally well apartment block heart city the apartment situated top capel street within walking distance local city the red line minute walk green line minute walk multiple bus run along station station within reach foot the area abundance local independent the development within minute walk iconic street st green henry street phoenix park,1,"Apt 11, 99 Capel Street, D01 C6C2, Dublin 1"
182,centrally one bedroom first floor apartment available rent the location beaten heart city adjacent trinity college time street street found within array grand canal dock also within easy reach excellent transport link available nearby green dart tara street numerous bus providing access beyond city bright spacious internal living accommodation c entrance hallway storage room bathroom large double bedroom open plan kitchen living dining room,2,"Apt 7, Georges Quay Apartments, Dublin 2"
183,bright spacious one bedroom apartment available rent immediately court convenient location close abundance numerous shopping sport leisure excellent educational close both airport city easily accessible private public transport bus numerous bring host across city the m m also short drive away,0,"Apt 94, Mayeston Court, D11 YW74"
184,one bedroom apartment available rent immediately hall small well development street heart city the new line selection pas directly front property,1,"Apartment 3, 151/152 Parnell Street, D01 CH27, Dublin 1"
185,the weir desirable gated development set backdrop dodder river park these remarkably spacious exquisitely finished newly built designed studio architecture these offer exceptional standard accommodation setting park one close development one every amenity within easy reach best the high school college st high school college a superb selection within walking distance wonderfully green leafy part dodder river running behind home several stroll away hallway enter expansive hallway find oak flooring cloakroom storage room living area exceptional space accommodation focal point luxury apartment the balcony double sliding contemporary living best x kitchen the kitchen one end living space like separate room enjoy ease flow living it superbly well ultra slim abundant storage available mix base wall breakfast bar casual dining include hob oven microwave dishwasher x utility room the spacious utility room wall base unit sink washing machine separate tumble x master bedroom the master bedroom spacious fitted wardrobe fully fitted shower room the plush grey carpet environment neutral colour scheme x family bathroom fully tiled main bathroom bath separate shower luxury include towel radiator choice shower x bedroom second bedroom spacious fully room it balcony added touch light luxury x,0,"Apartment 6, The Weir"
186,brand new apartment first time rental popular bright spacious living entrance hallway spacious dining room fully fitted kitchen elevated sitting room new sofa suite two double one bathroom large office the location simply excellent host local close hospital local primary secondary sporting excellent shopping castle park shopping the area also well choice bus convenient m m airport,5,"1a Ardlea Road, Dublin 5, Dublin 5"
187,only bespoke delighted present bright two bedroom duplex apartment centrally walk street set around quiet central courtyard floor ceiling apartment exceptional amount natural light the property entrance hall leading living room storage separate kitchen upstairs two large double built bathroom nearby every possible convenience city offer,1,"25 Wolfe Tone Street, Dublin 1"
188,bespoke estate delighted present newly extended bedroom bathroom house road property highest quality throughout ideally heart south house central location great public transport link also set quiet tranquil residential just great base living local within walking distance city short drive bus journey st green shopping town village offer retail leisure close the accommodation entrance hallway downstairs bathroom sitting room rear garden access home modern open plan room rear garden the kitchen custom built huge amount storage a separate utility room washing machine the rear garden southwest large patio space a discreet lift hallway access upper floor upstairs three large double one single bedroom master bathroom en suite bathroom there plenty storage space built storage room the rear garden immaculately laid landscape included rent the front gated driveway large enough three the house alarmed secure property energy efficient new timber double glazed throughout newly insulated attic space,0,"7 Richview Villas, Clonskeagh"
189,bespoke delighted present magnificent large period house market first time the period house stunning period high tall bay ornate mention upon entering impressive hallway front back reception modern kitchen wit island breakfast bar dining room lead rear garden bifold six well proportioned two en the property ideally heart doorstep within stroll local shopping upper road avenue the city also shot walk away throw stop there nearby st national park college college place national college name,0,139 Rathgar Road
190,bedroom plus study an amazing opportunity live one spectacular the property fitted highest standard possible rarely property standard come rental market floor ceiling provide property amazing natural light take full advantage amazing the balcony plenty space entertaining golf club city sure impress there lighting terrace provide amazing atmosphere night the property two large double large study the master bedroom wardrobe oversized bathroom both study feature plush wool carpet two access terrace the third room traditionally used study could provide the living area property impressive the open plan layout property ideal entertaining double leading terrace the kitchen latest top quality steam oven fusion boiling water tap the living area feature gas fireplace lighting ambient setting apartment come two underground parking the location road second none host doorstep the development minute walk away dart station number bus the city within easy reach hallway solid oak floor driftwood finish floor ceiling mirrored utility storage unit stainless steel double adjustable led oak throughout stainless steel leather door utility room white porcelain wall floor farrow ball wallpaper stainless steel single led meile washing machine window oak door stainless steel leather door powder room white porcelain wall floor silver grey grout farrow ball wallpaper stainless steel single led wall hung seat white flush plate grey vanity unit white monobloc tap polished chrome towel rail mirrored cabinet oak door stainless steel leather door master bedroom driftwood oak flooring grey plush wool carpet polished driftwood wardrobe stainless steel double adjustable led oak door stainless steel leather door master bathroom marble grey natural porcelain floor polished porcelain wall stainless steel single adjustable led wall hung seat white flush plate grey vanity unit chrome monobloc tap square shower head bath polished chrome towel rail oak door stainless steel leather door marble grey natural porcelain floor polished porcelain wall stainless steel single adjustable led grey vanity unit white monobloc tap shower head chrome white polished chrome towel rail mirrored cabinet oak door stainless steel leather door handle bedroom grey plush wool carpet polished driftwood wardrobe stainless steel double adjustable led oak door stainless steel leather door study grey plush wool carpet polished driftwood wardrobe stainless steel double adjustable led oak door stainless steel leather door insulated hot cold water tank extra insulated quick recovery hot water tank bar pressure pump storage shelving oak door stainless steel leather door kitchen area kitchen ultra graphite soft close drawer brushed stainless steel white oak wall cladding led island wide storage drawer cyclone white quartz throughout return island seating blanco twin stainless steel sink monobloc chrome mixer fusion boiling water tap soft oven zone induction hob watt microwave stainless steel angled extractor fan fully larder larder freezer fully place dishwasher time beam skirting level plinth cleaner skirting level step ladder corner storage unit white marble porcelain floor white grout white throughout area driftwood oak flooring throughout gas fire large mantle stainless steel double adjustable led ceiling throughout driftwood oak storage unit terrace large terrace golf club city external paving stone border throughout balcony terrace,3,"150 Howth Road, Clontarf, Dublin 3"
191,large bedroom property available let the property briefly entrance hallway two adjoining reception room leading huge south facing back garden upstairs family bathroom the property ideally collins avenue close host sport the area well public transport number bus the m m easily accessible well airport,9,"189 Collins Avenue, Whitehall, Dublin 9"
192,bright spacious bedroom apartment let quiet secure house situated lovely residential area within walking distance city center well excellent bus route minute walk train station accommodation fully fitted kitchen living room double bedroom single bedroom bathroom on street parking available no smoking no,3,"Saint Columba's Road Upper, Drumcondra, Dublin 3"
193,delighted present extremely attractive bright two bedroom study two bath semidetached property rental market stunning tastefully decorated home fitted high standard inviting private rear garden perfect entertaining private place relax b quiet de sac willow park lawn estate large green field surrounded mature the property short walk several notably min drive the location also well public transport city the airport m also within short drive the property entrance hallway open plan spacious living fully fitted the living room large slider private sheltered south facing rear garden high abundance space also electric awning storage shed the kitchen plenty counter space along gas hob large freezer off kitchen large utility room toilet upstairs two good sized double one fitted wardrobe master separate wardrobe bathroom the third bedroom currently set study a family bathroom walk shower upper floor accommodation,11,"1B Willow Park Lawn, Glasnevin, Dublin 11"
194,delighted present no square simply charming bed bath positioned one premier square home national print museum property road within street short stroll st green street square wonderful walled courtyard development providing calm retreat heart city cleverly designed home upside living living dining room fully fitted kitchen balcony upper floor two double master bathroom storage ground floor the balcony super stadium parking space front highly desirable suburb northward towards grand canal southward towards westward encompass area around road road road park the bulk diplomatic southern part around road the ground the stadium the corporate headquarters allied also road within road street lower the surrounding area home many established corporate professional bank bord bord it easily accessible major transport link area well public transport include dart grand canal dock numerous bus within short walk the ultimate city pad within must see,4,"29 Haddington Square, Beggar's Bush, Dublin 4"
195,enquiry only bed study bath semidetached cut stone available let delighted present charming cut stone period property rental market first time property attached original coach house part the old glebe house one originally built unique home set two abundance space throughout accommodation ground floor entrance hallway separate fully fitted kitchen spacious living room high fireplace electric stove a main bathroom large walk shower ground floor accommodation on upper floor find master bedroom ample wardrobe storage plus second room suitable study truly unique property violet hill road within walking distance the hall short stroll away include coffee shop chemist village shop chemist public house restaurant hairdresser fish shop the station walk m also close the location doorstep central park business beacon south quarter also close superb selection beacon hospital numerous tech recently one place business park retail park shopping town le drive away also close hand racecourse golf driving range together west wood health fitness tennis club well selection local sport ground enquiry only,18,"The Mews Violet Hill, Kilgobbin Road, Stepaside, Dublin 18"
196,delight offer stunning apartment magnificent sea totally offering luxurious accommodation highest quality situated heart apartment close the wooden bridge offering stunning access beach along popular promenade numerous supermarket the many sporting recreational offer include golf tennis cricket sailing st park within walking distance the current accommodation entrance hall kitchen master bedroom excellent range floor ceiling second bedroom laid guest bedroom shower room highly all via background current situation need would like u video please let u know the apartment available st please confirm available move notice need current tenancy full represent apartment dressed marketing please note soft included tenancy please ensure full background of the and rental history included accommodation entrance hall with feature laminate flooring intercom with feature laminate flooring opening kitchen modern wall floor press built oven hob extractor hood dishwasher attractive tiled tiled floor master bedroom with magnificent floor ceiling built bedroom ideal home occasional guest bedroom pull sofa office desk chair floor ceiling built shower room modern shower room large step shower wash hand basin vanity unit tiled note all provided guidance magnificent easy access beach gas radiator central heating secure gated development communal parking recently high standard second bedroom ideal home guest,3,"Apartment 2 Danes Court, Clontarf Road D03 PK77, Clontarf, Dublin 3"
197,lansdowne delighted offer huge door bed apartment road road one charm history within short troll retail shopping the the dart selection green the property briefly door entrance hallway storage large living room feature fireplace generous fully fitted modern kitchen dining area double bedroom built large master bedroom large built storage direct access private yard second private patio rear access bring main bathroom bath large storage room street parking permit available,4,"Haddington Road, Dublin 4"
198,lansdowne delighted offer stunning period property market property four bedroom mid terrace property superbly close host attractive the dart village strand shopping st hospital the the n the city quick easy commute bus cycle train walking the property briefly beautiful entrance hall large living built wood burning stunning light filled built kitchen direct access sunny low maintenance garden upstairs generous built storage stunning main bathroom shower unit freestanding bath top floor large bedroom home office additional storage outside low maintenance rear garden built shed rear access fuel front street parking property none,4,"45 Serpentine Avenue, Ballsbridge, Sandymount, Dublin 4"
199,beautiful detached home quiet de sac road crannog set large site behind electric surround mature lawn tennis club the property highest standard grand entrance hall double height park perfect mix tranquil setting convenience the location quick easy access host attractive village town le walking the green line short stroll away the n m easily accessible quick easy access south north the city easily access car bicycle bus there host excellent close college college the high school dame mount college st name the property simply stunning double height entrance hall large dual aspect living room feature fireplace direct access rear garden separate dining room home office playroom second living room direct access rear garden large fully fitted modern kitchen huge utility room downstairs upstairs large double lot natural light storage master bedroom main family bathroom freestanding bath separate shower outside street parking behind electric rear extensive lawn patio shed surrounded mature stunning home one advised,14,"Crannog, Taney Park, Dundrum, Dublin 14"
200,stunning a rated house rent road there effort expense design functionality finish stunning home large functional home none the a rating ensure low running host attractive doorstep secure private parking large low maintenance rear garden home ideal anyone lot accommodation briefly large entrance hall generous storage room large living large kitchen come dining room direct access low maintenance rear garden utility room large double ample built storage full the location second none host golf doorstep some short drive holly park st kill o grange college college mount within minute commute,18,"Westminster Road, Foxrock, Dublin 18"
201,lansdowne delighted offer stunning bed apartment funky property ideal city pad offering large open lot natural light along quick easy access the city the doorstep providing excellent convenience the phoenix park red line station throw away numerous bus artisan coffee doorstep crescent small development providing quiet secure living there large communal roof parking space behind electric the apartment include new flooring throughout full repaint new furniture the apartment rented first time flooded natural light large floor ceiling side living room there large entrance hall lot storage large living room fully fitted modern kitchen dining area access private balcony crescent park there large lot built wardrobe space master main bathroom bath outside communal roof private parking space behind electric,8,"13A Grattan Crescent, Inchicore, Dublin 8"
202,property delighted present unbelievable opportunity rent art style house originally built situated road via road road the property aloft peninsula head ben village city video only commanding sea lighthouse ending mountainous back drop serene city briefly extra large open plan area two two shower home office complete accommodation there large timber deck area elevated magnificent spectacular sea strictly appointment contact property accommodation note all provided guidance unfurnished,13,"Windgate House, Windgate Road, Howth, Dublin 13"
203,martin property offering newly one bedroom apartment rent the property open plan room large double bedroom area bathroom the property furnished upon apartment the short walk lively easy access across entire city multiple regular bus hand in addition apartment foot square cricket club more property follow for please apply,0,5 Belgrave Terrace
204,martin property delighted present beautiful bedroom apartment market the property ground floor light filled one a guest bathroom large open plan area the property furnish available immediately rent village within walking distance the development ideally adjacent many local the city within short commute the phoenix park within minute walk away easy access m n road network for please enquire advertisement,20,"Knockmaree, Chapelizod, Dublin 20"
205,martin property delighted present newly apartment highly sought area the accommodation within apartment two separate kitchen dining area bathroom the apartment modern space the property let fully furnished the area vibrant busy atmosphere full local within walking distance property the property short walk across minute walk green it also well different transport link city must martin property please register interest advertisement,2,"Grand Canal Street Lower, Dublin 2"
206,martin property present delightful home market cottage fronted original brick facade parking front upon entering property kitchen finished marble flooring large wooden floor living room ample light large skylight overhead there two one modern bathroom property one bedroom access outdoor courtyard adjacent cottage bedroom large double bedroom the location alone second none wide variety close hand local street within easy distance city the area public transport major bus the bypass also doorstep must advertisement,0,Liffey Street South
207,smith butler delighted bring rental market fabulous dual aspect apartment excellent condition throughout number second floor apartment block surrounded greenery eight total quite community private entrance avenue rarely property come market much desired discreet development a panoramic treetop view background visible living area large balcony flooded light throughout day a tranquil oasis calm the accommodation hallway kitchen area access spacious balcony bathroom two double abundance storage space bedroom wardrobe also separate doored storage area hallway private storage unit included parking space large enough store couple parking space included on street parking also available the area well excellent public transport link bus airport city the location one could wish short stroll bring national botanic city university beautiful college park all village offer doorstep there abundance national secondary nearby also convenient bon hospital hospital the mater hospital early highly looking set home highly location please advert arrange,0,"Apartment 7, Hillcrest Court"
208,smith butler present three bedroom property mature area east wall market attractive house substantially excellent order the property ideally east road park east point business park within minute walk the house also within short distance dart station red line the o city deceptively spacious accommodation entrance hallway open plan living room three double bathroom upstairs shower room utility room come modern bright kitchen patio rear courtyard on road parking front please interest view property advertisement,3,"8 Church Avenue, East Wall, Dublin 3"
209,smith butler present stunning property stunning home situated within gated development beautiful south facing rear garden the property large bright entrance hallway dining room guest room large open plan kitchen come dining space onto beautiful rear garden utility room first floor level double master balcony adjoining green space bathroom storage cupboard the location superb every conceivable amenity doorstep local local sporting excellent public transport service linking city a short distance shopping corporate phoenix park national aquatic n m international airport early advised unfortunately due high volume interest receive reply,15,"5 Church View, Hollystown, Dublin 15"
210,available th smith butler delighted present stunning a rated property market beautiful newly built detached corner house attic conversion accommodation entrance hallway large living room feature fireplace utility room large open plan area leading onto beautiful rear garden superb large sitting room feature fireplace hardwood throughout first floor double master family bathroom attic room provide storage comfort abundance house decorated highest standard prime location ideally close several bus minute walk shopping hospital within walk front door the m m drive away the road well bus network city please secure,5,"Whitethorn Rise, Artane, Dublin 5"
211,smith butler delighted bring rental market crescent the residence much sought popular area it ideally within short distance host hospital castle park shopping there also numerous sport recreational locality the accommodation step free access spacious entrance hallway downstairs bathroom living room lounge room room utility room sun room back house leading lawned rear garden on first floor double size fitted family bathroom the property also driveway provide parking,9,"10 Beaumont Crescent, Beaumont, Dublin 9"
212,smith butler delighted present rental market flat street a double bedroom apartment open plan living hallway utility room bathroom shower balcony private terrace it heart city close proximity st hospital campus house new national maternity hospital the block also beside the four the law library station the royal hospital castle street the shopping also within walking distance city location many leading tourist close the store house tourist area temple bar trinity college le foot the area well public transport red line directly outside front door advertisement,8,"Flat 4, 161 James's Street, Dublin 8"
213,only we will not be in a position to respond to all estate delighted present spacious well proportioned duplex apartment rental market close walk shopping home wide range development playground gated parking the apartment brief entrance hall spacious living room access large private balcony fully fitted separate room guest upstairs three double master fitted build main bathroom accommodation accessible attic space additional storage public transport well quality bus corridor offering bus service city beyond the m airport also easily accessible,11,"Lanesborough Mews, Finglas, Dublin 11"
214,international realty delighted present market beautiful four bedroom home highly sought road house pristine condition original charm character the house modern beautifully furnished highest road attractive tree lined road red brick home away heart situated st green well established mature residential location fine property almost unparalleled sense convenience doorstep a well surrounded wealth include local shopping avenue premier within walking distance it also gentle stroll beechwood le five walk away wonderful opportunity purchase period home widely one premier prime location doorstep short walk beechwood quiet road residential disc parking pedestrian side access exceptionally high wealth period include original ornate cornice detail easterly facing rear garden lease one year,6,"36 Edenvale Road Ranelagh, Ranelagh, Dublin 6"
215,please only executive style living high spec finish throughout development close transport link dart secure underground car parking gas fired central heating individual secure storage exceptional outdoor surrounding area bull island delighted present rental market executive bedroom apartment shieling square development the apartment beautifully fully furnished high spec finish the apartment spacious open plan room access large balcony area kitchen dining area ample storage entertaining need there large double plenty built wardrobe space shieling square contemporary bedroom the development road area widely one prestigious north it easy understand leafy suburb sought top class residential area variety large elevated piece ground shieling square stunning across bay easy access local leisure coastal walkway bull island apartment one parking space management company limited,5,"Shieling Square, Raheny, Dublin 5"
216,international realty delighted present market beautiful four bedroom home highly sought road house pristine condition original charm character the house modern beautifully furnished highest road attractive tree lined road red brick home away heart situated st green well established mature residential location fine property almost unparalleled sense convenience doorstep a well surrounded wealth include local shopping avenue premier within walking distance it also gentle stroll beechwood le five walk away wonderful opportunity purchase period home widely one premier prime location doorstep short walk beechwood quiet road residential disc parking pedestrian side access exceptionally high wealth period include original ornate cornice detail easterly facing rear garden lease one year,6,"36 Edenvale Road Ranelagh, Ranelagh, Dublin 6"
217,newly apartment half deposit can start month lease potential extending longer time period high standard ventilation insulation completely certified fire safety smoke alarm heat detector fire certified treble glazed new plumbing triton electric shower new throughout great lighting throughout led dimmer spot central feature light bedroom room double bedroom luxury bed most expensive bed store added storage beautiful matching beside locker chest drawer full body length mirror desk the living room good quality storage day bed comfortable mattress used bed night sofa day there also study desk living room very convenient location walking distance city,7,"Monck Place, Phibsborough, Dublin 7"
218,delighted present spacious well designed one apartment situated floor modern apartment complex apartment intending purchaser bright light filled accommodation numerous throughout it hallway living room double bedroom kitchen bathroom shower decorated highest also access large roof garden city surrounded within two walking distance dart station rail station short stroll street,1,"Marlborough Court, Dublin 1"
219,delighted present one bed apartment market the apartment entrance hallway leading large double bedroom spacious room kitchen additional storage hallway the bedroom come wardrobe space bright sunny large sash window few walk o street temple bar host bus stop doorstep development short stroll prime retail office along place central location,1,"Jervis Place, Upper Abbey Street, Dublin 1"
220,delighted present stunning bed apartment door the accommodation living room open plan kitchen two double built one main bedroom storage utility room back door access the apartment spacious bright brand new apartment first time front rear patio own door highly new urban heart south with m n interchange away line offering fast frequent commute city carefully designed include abundance essential family life leisure in addition wonderful south doorstep hill park south,0,"Mercer Lodge, Mercer Vale, Cherrywood, Co. Dublin"
221,still available convenience get let delighted present cypress market stunning two bed penthouse apartment cypress exclusive development set mature ground road heart set behind electric spacious two property ideal choice seeking extremely desirable secure home one sought highly prime property two top block lift apartment beautifully finished furnished tastefully high standard property the apartment large decked sun trap balcony ground car parking space the entrance beside kitchen area island four casual dining to right kitchen large dining area large overlook cricket club leaving one space privacy to left kitchen find large living area onto private terrace upstairs two large double private the master bedroom king size bed walk the second bedroom come style bed built within walking distance array popular specialty local extremely well public transport link include lansdowne road dart station various bus provide easy access city surrounding highly impressive apartment to arrange please contact get let form right advertisement get touch arrange private get let subsidiary get property limited number,4,"Apartment 7, Cypress, Hazeldene, Ballsbridge, Dublin 4"
222,bed rear property furnished high standard own entrance small private garden parking front communal parking area price monthly rent utility ie electricity gas streaming subscription bin fitted kitchen fully furnished sofa subscription washing machine freezer microwave bed one rent plus one month deposit front plus little bus stop walk various min bus city also direct route direct bus st hospital min walking distance our hospital red line min walk quiet close le min walk move in date th,12,"Thomas Moore Road, Walkinstown, Dublin 12"
223,please a wonderfully spacious garden level apartment heart recently high standard the apartment large area two double separate home apartment extensive built storage large private terrace rear,4,"38 Waterloo Road, Dublin 4, Dublin 4"
224,stunning bedroom apartment to let bushy park house excellent location convenient town m local fully furnished star standard privately lived two large double one main bathroom towel floor ceiling tiling fully fitted separate kitchen bright spacious living area onto balcony balcony water feature underground car parking available,12,"Bushy Park House, Terenure, Dublin 12"
225,international realty delighted present market wonderful property mercer lodge first new build the ground floor apartment impressive reception room large open plan kitchen living space finished highest there also large utility kitchen the apartment large bright spacious double the property condition must it n short stroll stop also several bus bus a x bus route bus airport village park close hand the m nearby providing seamless access airport surrounding host coffee,18,"1 Mercer Lodge Dublin 18, Cherrywood, Co. Dublin"
226,the property of small no single bedroom shower room with no double bedroom with built in wardrobe heating is electric kitchen is all electric outside there is a small courtyard a curriculum is a requirement only with prospective considered a deposit of is plus rent in advance apartment process renovation ready is a non smoking apartment,20,"cloverhill road area, Palmerstown, Dublin 20"
227,please respond estate present studio rent the property heart abundance transport link within walking distance no parking available,6,"Flat 8, 57 Rathmines Road Upper, Rathmines, Dublin 6"
228,one apartment rent place separate living space bathroom kitchen secure entry system close city transport link,8,"20 Christchurch Place, Dublin 8, Christchurch, Dublin 8"
229,bedroom semi detached street parking two,24,"6 Old Court Lawn, Dublin 24, Ballycullen, Dublin 16"
230,perfect home well established standard upstairs downstairs hall suitable office living additional bedroom one main bathroom upstairs small also downstairs wooden flooring lot natural light at rear large open plan kitchen dream anyone cooking lovely garden covered side passage garage storage laundry walk bus easy access main city,20,"51 Palmerstown Drive, Dublin 20, Dublin 20"
231,short term weekly rental a beautiful large one bedroom apartment quiet leafy residential area double bedroom bathroom utility room separate washer sitting room dining area fully kitchen dishwasher microwave all throughout a parking space also included within securely gated development village bullock harbour beach village conveniently within short walking distance the dart train station walk local bus stop away the shuttle bus airport also village all utility linen included weekly rate,0,"Castlepark Road, Dalkey, Co. Dublin"
232,unfurnished house a unique extended detached artisan style cottage quaint detached converted extended cottage excellent location also offering easy access m n quality bus corridor bus green m originally artisan spacious bedroom property extended whilst still retaining much original character it large x newly fitted kitchen well washing machine sink drainer unit gas boiler the area double oven freezer dishwasher microwave gas hob in addition breakfast bar kitchen large enough accommodate dining room table heating provided gas fired central heating well fuel burning stove living room a small entrance porch large living area x solid hardwood oak flooring patio garden rear a spacious x hallway living area ideal internal storage large master the master bedroom wired cable large bright bathroom the second double bedroom also large easy accommodation double bed third bedroom ideal single bedroom study home office hallway power the outside via living area kitchen private sunny secluded walled patio garden side access perfect entertaining the gated side entrance road covered canopy area additional storage situated small de sac free parking outside it minute walk variety local local village coffee shop supermarket convenience store pharmacy restaurant yoga studio pub ideal seeking high quality comfortable property either short long term it convenience single level apartment character bespoke period cottage added benefit easy maintain garden space enjoy unfurnished basis,0,"Orchard Lane, Blackrock, Co. Dublin"
233,short term only stunning bed bathroom south facing apartment large outdoor balcony much sought embassy belt location beautifully decorated expense property large master bedroom ceiling floor door large balcony large bath beautiful second bedroom calm sun flooded room double bed decent storage the large entrance hall flanked second bathroom complete power shower two storage the kitchen usual washing machine dishwasher the glory apartment beautiful large living space period gas fire balcony no available month lease shorter considered,4,"112 Shrewsbury Park, Ballsbridge, Dublin 4"
234,superb double bedroom house available immediately completely wooden central heating close available immediately if interested please reply providing start date deposit,12,"102 Windmill Park, Dublin 12, Crumlin, Dublin 12"
235,bright spacious first floor south facing apartment hall door large entrance bedroom excellent storage room electric shower near hospital shopping mon major bus city no,12,"Kimmage Road West, Kimmage, Dublin 12"
236,lovely one bed apartment superb location enjoying private courtyard within apartment double bedroom spacious sitting room dining area leather sofa granite top fully kitchen bathroom location beside financial train station around corner main bus station excellent city location close temple bar o bord street street essential,1,"Scariff House Custom House Square, IFSC, Dublin 1"
237,fully furnished two bed second floor corner apartment balcony sea communal parking reception hallway large living dining room kitchen range two double en suite shower room bathroom park within walking distance village range local retail service business park retail park town m easily accessible there selection sporting recreational vicinity golf pitch putt mountain sport park,18,"Fern Court, Stepaside Park, Stepaside, Dublin 18"
238,stunning apartment recently situated heart host doorstep it also adjacent excellent public transport dart close apartment interior finish new furniture bed king size bathroom balcony gas fired central heating fitted wired sky to truly appreciate uniqueness property strongly advised,1,"7 Boyne House, Custom House Square, Mayor Street L, North Wall, Dublin 1"
239,please real estate delighted present bright spacious two bed two bath apartment rental market ideally situated next primary high school wealth doorstep property sure appeal many the property briefly large entrance hallway ample storage room large open plan room separate kitchen two double one bathroom the property come secure parking space,14,"Loreto Abbey, Rathfarnham, Dublin 14"
240,delighted give opportunity rent bed apartment great location recently good standard property city living doorstep yet still situated much sought address only walk o street flat also park station cemetery flat a road upper come market recently property kitchen living area bedroom double bed tiled bathroom number situated area numerous recreational locality train station stroll away city within twenty minute walk also well numerous bus within walking distance city convenient numerous offer easy access east point business park airport mater temple street trinity m m the area well great public transport system also learning several prestigious educational within walking distance st college education mater institute education all college all associated nearby city university the green open close proximity city make unique location you walk station use arrow rail service also numerous bus quality bus corridor please contact via only,0,90 Drumcondra Road Upper
241,estate are delighted to offer rental market spacious well bedroom home ideal convenient location collins avenue close road the well laid accommodation hall sitting room dining room kitchen bathroom garden front large garden rear upstairs two double one single bedroom main family bathroom downstairs one double bedroom sitting room dining room cum kitchen collins avenue array doorstep excellent local many sporting recreational within walking distance the property close proximity golf club collins avenue residential area central beside hospital parking two it well public transport bus stopping almost front gate within walking distance several bus city international airport approximately away the m m easily location the property also close port tunnel no come market good condition throughout benefit gas fired central heating bright completely throughout early essential avoid disappointment the smaller room easily converted office please register your interest by only,11,"Collins Avenue Extension, Glasnevin, Dublin 11"
